X,Y
27.47,64.94
78.93,167.86
6.03,22.06
43.61,97.22
27.24,64.48
86.95,183.9
48.47,106.94
95.24,200.48
83.88,177.76
15.65,41.3
14.93,39.86
92.78,195.56
40.34,90.68
89.05,188.1
78.62,167.24
54.65,119.3
60.35,130.7
9.75,29.5
36.13,82.26
35.18,80.36
33.24,76.48
56.99,123.98
76.54,163.08
44.16,98.32
27.41,64.82
2.44,14.88
25.25,60.5
67.46,144.92
97.9,205.8
83.51,177.02
33.03,76.06
76.13,162.26
10.5,31
36.33,82.66
44.27,98.54
61.26,132.52
20.36,50.72
49.88,109.76
2.17,14.34
13.59,37.18
32.89,75.78
22.2,54.4
41.84,93.68
23.26,56.52
20.72,51.44
16.72,43.44
70.61,151.22
44.86,99.72
80.83,171.66
64.7,139.4
4.65,19.3
77.96,165.92
54.9,119.8
60.22,130.44
95.13,200.26
22.57,55.14
38.99,87.98
49.95,109.9
81.31,172.62
4.96,19.92
4.73,19.46
2.18,14.36
26.25,62.5
91.63,193.26
74.46,158.92
23.52,57.04
58.17,126.34
16.26,42.52
67.73,145.46
65.71,141.42
76.55,163.1
69.59,149.18
60.06,130.12
51,112
18.86,47.72
59.47,128.94
31.02,72.04
78.42,166.84
67.16,144.32
64.21,138.42
17.65,45.3
45.07,100.14
69.62,149.24
14.43,38.86
34.33,78.66
22.66,55.32
73.59,157.18
40.41,90.82
31.06,72.12
1.26,12.52
46.15,102.3
38.87,87.74
76.87,163.74
52.82,115.64
70.35,150.7
22.94,55.88
81.61,173.22
54.83,119.66
46.73,103.46
80.65,171.3
29.22,68.44
68.57,147.14
92.48,194.96
23.59,57.18
83.88,177.76
69.23,148.46
37.82,85.64
41.81,93.62
34.44,78.88
37.84,85.68
51.34,112.68
34.7,79.4
74.14,158.28
48,106
1.77,13.54
73.91,157.82
73.29,156.58
1.27,12.54
61.05,132.1
17.38,44.76
17.98,45.96
54.3,118.6
70.69,151.38
59.3,128.6
90.88,191.76
15.43,40.86
96.78,203.56
21.3,52.6
79.81,169.62
38.28,86.56
20.73,51.46
13.78,37.56
55.67,121.34
55.06,120.12
14.51,39.02
64.3,138.6
36.82,83.64
88.05,186.1
29.79,69.58
27.7,65.4
60.18,130.36
68.63,147.26
42.71,95.42
85.65,181.3
21.27,52.54
32.14,74.28
88.28,186.56
35.1,80.2
79.19,168.38
69.09,148.18
80.74,171.48
20.03,50.06
32.62,75.24
39.17,88.34
60.56,131.12
65.24,140.48
90.95,191.9
71.19,152.38
48.6,107.2
52.33,114.66
93.05,196.1
94.38,198.76
98.18,206.36
20.17,50.34
59.19,128.38
46.42,102.84
97.42,204.84
11.28,32.56
98.25,206.5
46.18,102.36
55.52,121.04
50.82,111.64
69.93,149.86
76.44,162.88
36.29,82.58
60.8,131.6
0.99,11.98
10.83,31.66
5.24,20.48
67.66,145.32
45.93,101.86
2.26,14.52
98.04,206.08
90.1,190.2
34.34,78.68
44.56,99.12
83.69,177.38
16.35,42.7
76.93,163.86
32.46,74.92
40.16,90.32
94.03,198.06
44.21,98.42
4.64,19.28
74.71,159.42
41.17,92.34
59.93,129.86
17.8,45.6
5.5,21
21.83,53.66
52.17,114.34
71.31,152.62
22.02,54.04
22.89,55.78
69.86,149.72
7.86,25.72
56.34,122.68
2.6,15.2
82.29,174.58
51.94,113.88
20.28,50.56
44.89,99.78
10.41,30.82
35.87,81.74
58.9,127.8
89.92,189.84
93.09,196.18
23.14,56.28
56.76,123.52
35.95,81.9
30.48,70.96
48.71,107.42
97.69,205.38
59.72,129.44
39.7,89.4
14.4,38.8
55.73,121.46
22.66,55.32
78.85,167.7
55.15,120.3
10.71,31.42
75.86,161.72
64.2,138.4
91.53,193.06
34.89,79.78
82.21,174.42
65.41,140.82
25.29,60.58
73.35,156.7
26.5,63
36.86,83.72
12.33,34.66
92.04,194.08
25.86,61.72
0.44,10.88
19.23,48.46
52.87,115.74
62.83,135.66
56.27,122.54
0.33,10.66
25.14,60.28
68.48,146.96
22.68,55.36
97.28,204.56
24.85,59.7
62.24,134.48
99.8,209.6
26.9,63.8
79.04,168.08
1.13,12.26
78.4,166.8
81.23,172.46
53.04,116.08
49.61,109.22
15.08,40.16
55.36,120.72
47.91,105.82
82.93,175.86
61.56,133.12
67.81,145.62
55.63,121.26
33.79,77.58
86.66,183.32
16.89,43.78
24.83,59.66
12.9,35.8
78.39,166.78
58.9,127.8
11.73,33.46
44.24,98.48
31.47,72.94
58.61,127.22
15.7,41.4
27.52,65.04
72.2,154.4
15.96,41.92
32.14,74.28
73.06,156.12
82.47,174.94
33.99,77.98
17.27,44.54
19.18,48.36
54.73,119.46
57,124
96.99,203.98
33.25,76.5
90.92,191.84
83.68,177.36
88.5,187
60.44,130.88
22.79,55.58
0.2,10.4
98.92,207.84
12.39,34.78
74.98,159.96
82.47,174.94
11.09,32.18
10.56,31.12
31.71,73.42
33.29,76.58
28.68,67.36
21.93,53.86
69.64,149.28
8.24,26.48
76.62,163.24
32.77,75.54
24.12,58.24
77.22,164.44
61.01,132.02
27.03,64.06
22.86,55.72
35.18,80.36
38.25,86.5
60.39,130.78
40.56,91.12
3.93,17.86
41.04,92.08
53.5,117
44.18,98.36
43.25,96.5
9.83,29.66
85.62,181.24
39.21,88.42
54.46,118.92
33.12,76.24
92.79,195.58
97.52,205.04
75.39,160.78
62.25,134.5
77.98,165.96
91.33,192.66
95.69,201.38
68.03,146.06
6.12,22.24
28.17,66.34
33.43,76.86
17.1,44.2
84.96,179.92
51.07,112.14
76.25,162.5
99.05,208.1
18,46
19.7,49.4
59.94,129.88
15.82,41.64
66.19,142.38
71.67,153.34
14.15,38.3
3.76,17.52
52.16,114.32
51.76,113.52
97.58,205.16
55.6,121.2
97.02,204.04
7.93,25.86
98.75,207.5
3.5,17
96.65,203.3
26.35,62.7
97,204
7.37,24.74
35.9,81.8
50.5,111
68.38,146.76
50.23,110.46
46.78,103.56
86.89,183.78
96.78,203.56
96.5,203
32.54,75.08
92.16,194.32
56.31,122.62
12.32,34.64
80.16,170.32
1.79,13.58
3.41,16.82
4.84,19.68
7.98,25.96
88.53,187.06
93.77,197.54
51.48,112.96
33.53,77.06
11.06,32.12
39.01,88.02
13.85,37.7
53.81,117.62
98.09,206.18
13.53,37.06
17.99,45.98
67.32,144.64
24.75,59.5
41.95,93.9
12.95,35.9
20.99,51.98
68.55,147.1
71.77,153.54
64.49,138.98
3.55,17.1
81.75,173.5
88.68,187.36
55.92,121.84
9.87,29.74
0.39,10.78
10.73,31.46
48.28,106.56
53.14,116.28
66.24,142.48
40.82,91.64
30.59,71.18
72.07,154.14
86.42,182.84
64.83,139.66
31.56,73.12
53.72,117.44
46.19,102.38
38.63,87.26
72.31,154.62
98.13,206.26
85.32,180.64
38.76,87.52
6.23,22.46
41.9,93.8
69.32,148.64
95.46,200.92
51.02,112.04
9.47,28.94
17.83,45.66
91.78,193.56
23.75,57.5
11.72,33.44
66.67,143.34
55.44,120.88
62.31,134.62
62.13,134.26
42.96,95.92
44.26,98.52
75.51,161.02
35.63,81.26
91.88,193.76
74.63,159.26
43.69,97.38
25.9,61.8
82.85,175.7
34.55,79.1
99.55,209.1
15.79,41.58
95.86,201.72
62.7,135.4
38.35,86.7
5.29,20.58
58.23,126.46
59.68,129.36
78.77,167.54
49.16,108.32
56.55,123.1
52.21,114.42
55.96,121.92
97.15,204.3
94.01,198.02
43.31,96.62
34.16,78.32
28.83,67.66
19.83,49.66
10.21,30.42
79.72,169.44
10.46,30.92
28.94,67.88
68.62,147.24
6.84,23.68
15.52,41.04
31.43,72.86
70.64,151.28
70.24,150.48
12.92,35.84
49.57,109.14
9.32,28.64
51.67,113.34
3.98,17.96
90.57,191.14
17.6,45.2
47.5,105
37.79,85.58
42.77,95.54
34.35,78.7
99.78,209.56
75.98,161.96
62.95,135.9
97.16,204.32
13.11,36.22
4.08,18.16
57.4,124.8
79.93,169.86
68.57,147.14
10.9,31.8
19.81,49.62
86.06,182.12
46.2,102.4
32.82,75.64
4.93,19.86
15.85,41.7
20.04,50.08
86.56,183.12
87.55,185.1
35.34,80.68
27.83,65.66
60.92,131.84
25.61,61.22
26.4,62.8
86.86,183.72
7.29,24.58
35.77,81.54
18.39,46.78
38.48,86.96
21.3,52.6
24.25,58.5
11.6,33.2
11.48,32.96
94.78,199.56
55.63,121.26
81.29,172.58
64.18,138.36
60.66,131.32
13.13,36.26
26.02,62.04
11.15,32.3
92.35,194.7
24.36,58.72
14.54,39.08
42.96,95.92
86.32,182.64
68.68,147.36
44.38,98.76
49.13,108.26
36.17,82.34
17.4,44.8
20.68,51.36
79.41,168.82
36.5,83
5.68,21.36
42.76,95.52
19.46,48.92
1.08,12.16
61.1,132.2
42.43,94.86
73.41,156.82
63.22,136.44
86.54,183.08
34.81,79.62
60.56,131.12
18.57,47.14
64.52,139.04
84.26,178.52
29.06,68.12
10.5,31
61.35,132.7
97,204
54.89,119.78
60.02,130.04
52.48,114.96
18.39,46.78
8.48,26.96
26.39,62.78
9.06,28.12
66.5,143
57.74,125.48
25.66,61.32
4.72,19.44
98.24,206.48
74.73,159.46
6.56,23.12
59.14,128.28
63.28,136.56
62.08,134.16
3.32,16.64
40.85,91.7
64.77,139.54
79.9,169.8
48.62,107.24
39.18,88.36
68.52,147.04
17.21,44.42
96.98,203.96
83.15,176.3
62.95,135.9
39.43,88.86
35.05,80.1
97,204
65.74,141.48
59.47,128.94
99.79,209.58
74.41,158.82
49.23,108.46
48.09,106.18
24.35,58.7
64.06,138.12
30.43,70.86
35.18,80.36
35.97,81.94
67.1,144.2
5.39,20.78
50.42,110.84
66.24,142.48
62.68,135.36
99.83,209.66
81.83,173.66
11.95,33.9
87.93,185.86
94.07,198.14
17.22,44.44
52.86,115.72
7.54,25.08
1.89,13.78
32.53,75.06
4.01,18.02
76.42,162.84
29.62,69.24
2,14
65.14,140.28
21.85,53.7
31.48,72.96
49.86,109.72
12.83,35.66
16.84,43.68
86.08,182.16
96.06,202.12
53.87,117.74
83.51,177.02
1.66,13.32
95.55,201.1
17.86,45.72
57.5,125
53.71,117.42
46.89,103.78
23.18,56.36
86.92,183.84
45.23,100.46
72.64,155.28
31.12,72.24
18.39,46.78
0.05,10.1
42.07,94.14
84.06,178.12
47.92,105.84
40.04,90.08
31.22,72.44
50.19,110.38
76.17,162.34
58.03,126.06
61.65,133.3
83.77,177.54
7.64,25.28
61.59,133.18
87.63,185.26
5.7,21.4
17.96,45.92
82.95,175.9
55.38,120.76
59.98,129.96
39.15,88.3
43.79,97.58
38.95,87.9
13,36
92.12,194.24
33.69,77.38
31.77,73.54
76.01,162.02
89.04,188.08
81.66,173.32
26.01,62.02
50.63,111.26
90.34,190.68
53.87,117.74
52.47,114.94
72.14,154.28
58.85,127.7
91.94,193.88
58,126
19.38,48.76
68.36,146.72
65.65,141.3
13.09,36.18
89.62,189.24
76.18,162.36
62.5,135
26.82,63.64
29.22,68.44
82.88,175.76
41.74,93.48
43.19,96.38
17.91,45.82
27.89,65.78
62.38,134.76
63.27,136.54
5.44,20.88
67.67,145.34
7.12,24.24
74.81,159.62
76.88,163.76
89.74,189.48
6.39,22.78
22.51,55.02
94.03,198.06
76.74,163.48
7.04,24.08
14.36,38.72
24.51,59.02
82.24,174.48
69.94,149.88
28.69,67.38
14.45,38.9
73.87,157.74
25.68,61.36
50.07,110.14
73.78,157.56
11.07,32.14
65.56,141.12
14.48,38.96
83.19,176.38
47.87,105.74
24.48,58.96
23.33,56.66
32.35,74.7
36.16,82.32
28.34,66.68
11.59,33.18
0.4,10.8
66.88,143.76
69.58,149.16
93.99,197.98
78.13,166.26
29.81,69.62
23.77,57.54
70.49,150.98
44.95,99.9
20.51,51.02
25.98,61.96
82.15,174.3
28.77,67.54
66.78,143.56
75.42,160.84
23.39,56.78
76.55,163.1
14.19,38.38
33,76
80.36,170.72
46.74,103.48
25.14,60.28
42.25,94.5
84.13,178.26
80.5,171
88.97,187.94
95.68,201.36
90.76,191.52
68.8,147.6
23.59,57.18
42.86,95.72
65.71,141.42
78.32,166.64
66.13,142.26
1.34,12.68
30.11,70.22
90.65,191.3
34.78,79.56
29.77,69.54
38.36,86.72
92.92,195.84
35.69,81.38
62.34,134.68
74.98,159.96
87.69,185.38
20.97,51.94
34.13,78.26
36.64,83.28
51.59,113.18
33.67,77.34
16.69,43.38
21.13,52.26
62.53,135.06
37.14,84.28
32.77,75.54
75.61,161.22
33.3,76.6
79.86,169.72
75.59,161.18
98.53,207.06
81.91,173.82
22.4,54.8
50.96,111.92
60.9,131.8
10.56,31.12
52.07,114.14
43.17,96.34
50.66,111.32
92.35,194.7
95.95,201.9
54.1,118.2
38.65,87.3
60.38,130.76
94.44,198.88
37.09,84.18
0.96,11.92
41.82,93.64
38.02,86.04
32.91,75.82
43.08,96.16
16.36,42.72
66.52,143.04
13.53,37.06
61.65,133.3
22.59,55.18
17.16,44.32
89.26,188.52
36.66,83.32
27.42,64.84
78.54,167.08
74.01,158.02
15.74,41.48
18.5,47
26.4,62.8
20.8,51.6
79.34,168.68
91.51,193.02
94.6,199.2
16.13,42.26
0.48,10.96
89.43,188.86
6.85,23.7
0.45,10.9
5.81,21.62
36.1,82.2
90.42,190.84
92.77,195.54
6.41,22.82
76.45,162.9
75.49,160.98
50.33,110.66
67.94,145.88
2.25,14.5
17.69,45.38
52.66,115.32
36.65,83.3
95.03,200.06
43.45,96.9
87.86,185.72
16.87,43.74
12.43,34.86
25.52,61.04
96.43,202.86
43.94,97.88
